years_before_2023,co2_ppmv,temp_anomaly,ch4_ppb
135,294.34178746728605,-0.17,833.6
136,291.22877558363234,-0.36,832.825
137,288.1157636999787,-0.31,832.0500000000001
138,289.2265988139854,-0.33,831.275
139,289.7624132149648,-0.28,830.5
140,292.46393479402104,-0.18,829.725
141,290.89953292593646,-0.11,828.95
142,289.33513105785187,-0.09,828.1750000000001
143,287.7707291897673,-0.17,827.4
144,288.2898631480921,-0.348,826.625
145,288.8089971064169,-0.2849,825.85
146,289.3281310647417,-0.2818,825.075
147,290.0714865317742,-0.2628,824.3000000000001
148,290.8148419988068,-0.2171,823.525
149,291.5581974658393,-0.2398,822.75
150,286.6550967370638,-0.2453,821.975
151,286.4904390988841,-0.17,821.2
152,286.32578146070443,-0.154,820.4250000000001
153,287.9864944292303,-0.1564,819.65
154,289.53614491302415,-0.107,818.875
155,287.9922513016967,-0.1083,818.1
156,285.05229227816864,-0.2198,817.325
157,285.8532252193753,-0.364,816.5500000000001
158,286.65415816058197,-0.4408,815.775
159,286.00373845886907,-0.4062,815.0
160,285.3533187571561,-0.3556,814.225
161,287.17456217295097,-0.2823,813.45
162,286.99406665252576,-0.2142,812.675
163,286.8135711321005,-0.2134,811.9
164,286.6330756116753,-0.3012,811.125
165,284.89758817961,-0.4315,810.35
166,283.16210074754474,-0.5825,809.575
167,284.3638389871925,-0.5393,808.8
168,285.56557722684016,-0.2621,808.025
169,288.05443747992655,-0.1564,807.25
170,286.76013417132697,-0.2623,806.475
171,285.4658308627274,-0.3511,805.7
172,288.7903954001126,-0.4139,804.925
173,288.1400094248857,-0.4075,804.15
174,287.4896234496589,-0.3528,803.375
175,286.839237474432,-0.3663,802.6
176,285.2295615819296,-0.4191,801.825
177,283.6198856894272,-0.4884,801.05
178,283.1828720355646,-0.604,800.275
179,281.58148260537183,-0.6255,799.5
180,282.27250364457944,-0.6002,798.725
181,282.9635246837871,-0.6197,797.95
182,283.6545457229947,-0.5588,797.175
183,283.7789052833353,-0.4502,796.4
184,283.90326484367586,-0.4198,795.625
185,284.0276244040164,-0.5042,794.85
186,284.151983964357,-0.6727,794.075
187,284.0414534130178,-0.7798,793.3
188,283.93092286167865,-0.7262,792.525
189,283.82039231033946,-0.582,791.75
190,285.0861666968484,-0.4789,790.975
191,285.223295568416,-0.4688,790.2
192,285.3604244399836,-0.4221,789.425
193,285.4975533115512,-0.3804,788.65
194,285.63468218311885,-0.3701,787.875
195,285.77181105468645,-0.2994,787.1
196,285.90893992625405,-0.2933,786.325
197,283.63465260550663,-0.4025,785.55
198,281.3603652847592,-0.5656,784.775
199,281.6395400390867,-0.6982,784.0
200,281.91871479341415,-0.6962,778.5
201,282.1978895477416,-0.596,773.0
